track,artist,year,month,streams,date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,7,1316855716,2023-07
LALA,Myke Towers,2023,3,725980112,2023-03
vampire,Olivia Rodrigo,2023,6,721975598,2023-06
WHERE SHE GOES,Bad Bunny,2023,5,618990393,2023-05
Sprinter,"Dave, Central Cee",2023,6,553634067,2023-06
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,3,518745108,2023-03
Columbia,Quevedo,2023,7,505671438,2023-07
fukumean,Gunna,2023,5,496795686,2023-05
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,3,436027885,2023-03
un x100to,"Bad Bunny, Grupo Frontera",2023,4,430977451,2023-04
Super Shy,NewJeans,2023,7,429829812,2023-07
Flowers,Miley Cyrus,2023,1,387570742,2023-01
Daylight,David Kushner,2023,4,363369738,2023-04
Cupid - Twin Ver.,Fifty Fifty,2023,2,357925728,2023-02
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,7,354495408,2023-07
Classy 101,"Feid, Young Miko",2023,3,335222234,2023-03
Like Crazy,Jimin,2023,3,307370144,2023-03
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,6,303236322,2023-06
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,2023,7,266624541,2023-07
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,5,256483385,2023-05
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,6,255932395,2023-06
SABOR FRESA,Fuerza Regida,2023,6,250305248,2023-06
MOJABI GHOST,"Tainy, Bad Bunny",2023,6,248088961,2023-06
Last Night,Morgan Wallen,2023,1,233801632,2023-01
Dance The Night (From Barbie The Album),Dua Lipa,2023,5,232896922,2023-05
Rush,Troye Sivan,2023,7,223633238,2023-07
TULUM,"Peso Pluma, Grupo Frontera",2023,6,217672943,2023-06
TQG,"Karol G, Shakira",2023,2,211050784,2023-02
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,6,207033255,2023-06
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2023,4,206399629,2023-04
TQM,Fuerza Regida,2023,5,201660859,2023-05
El Azul,"Junior H, Peso Pluma",2023,2,200647221,2023-02
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023,6,195576623,2023-06
Die For You - Remix,"Ariana Grande, The Weeknd",2023,2,188933502,2023-02
El Cielo,"Feid, Myke Towers, Sky Rompiendo",2023,6,183706234,2023-06
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023,4,177740666,2023-04
AMARGURA,Karol G,2023,2,176553476,2023-02
(It Goes Like) Nanana - Edit,Peggy Gou,2023,6,175399345,2023-06
Moonlight,Kali Uchis,2023,2,175097833,2023-02
S91,Karol G,2023,7,173627354,2023-07
Tï¿½ï¿,"dennis, MC Kevin o Chris",2023,5,172825906,2023-05
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,2,168448603,2023-02
