Departments,Count
City Auditor's Office,7
City Budget Office,36
Civil Rights Office,37
Civil Service Commissions,10
Community Police Commission,10
Community Safety and Communication Center,198
Construction and Inspections,410
Economic and Revenue Forecasts,2
Education and Early Learning,119
Emergency Management Office,13
Employees Retirement System,37
Ethics and Elections Commissions,11
Finance and Administrative Service,575
Hearing Examiner,5
Housing Office,63
Human Resources,88
Human Services,467
Immigration and Refugee Affairs,12
Information Technology,571
Intergovernmental Relations,8
Law Department,211
Legislative Department,98
Mayor's Office,47
Neighborhoods,64
Office of Arts and Culture,55
Office of Economic Development and Special Events Office,51
Office of Labor Standards,31
Office of the Employee Ombud,7
Office of the Inspector General for Public Safety,22
Parks and Recreation Department,1764
Planning and Community Office,50
Police Relief and Pension,4
Seattle Center,570
Seattle City Light,1802
Seattle Department of Transportation,1167
Seattle Fire Department,1138
Seattle Municipal Courts,211
Seattle Police Department,1634
Seattle Public Library,650
Seattle Public Utilities,1549
Sustainability and Environment,60
